11:16:26.749 place-ship: size=4 pos=(3,6) dir=vertical
11:16:26.750 place-ship: size=3 pos=(8,4) dir=vertical
11:16:26.750 place-ship: size=3 pos=(4,0) dir=horizontal
11:16:26.750 place-ship: size=2 pos=(1,2) dir=vertical
11:16:26.750 place-ship: size=2 pos=(2,7) dir=vertical
11:16:26.750 place-ship: size=2 pos=(5,4) dir=vertical
11:16:26.750 place-ship: size=1 pos=(8,0) dir=horizontal
11:16:26.750 place-ship: size=1 pos=(2,4) dir=vertical
11:16:26.750 place-ship: size=1 pos=(0,1) dir=vertical
11:16:26.750 place-ship: size=1 pos=(8,3) dir=horizontal
11:16:26.751 shot: pos=(0,8) result=sunk ship-size=1
11:16:26.751 enemy-shot: pos=(8,7) result=miss
11:16:26.751 shot: pos=(3,7) result=miss
11:16:26.751 enemy-shot: pos=(7,1) result=miss
11:16:26.751 shot: pos=(4,0) result=miss
11:16:26.751 enemy-shot: pos=(4,7) result=miss
11:16:26.751 shot: pos=(2,7) result=miss
11:16:26.751 enemy-shot: pos=(6,8) result=miss
11:16:26.751 shot: pos=(4,2) result=hit
11:16:26.752 enemy-shot: pos=(3,7) result=hit
11:16:26.752 shot: pos=(3,1) result=miss
11:16:26.752 enemy-shot: pos=(1,2) result=hit
11:16:26.752 shot: pos=(6,6) result=miss
11:16:26.752 enemy-shot: pos=(2,4) result=sunk ship-size=1
11:16:26.752 shot: pos=(1,8) result=miss
11:16:26.752 enemy-shot: pos=(4,2) result=miss
11:16:26.752 shot: pos=(4,3) result=miss
11:16:26.752 enemy-shot: pos=(7,6) result=miss
11:16:26.752 shot: pos=(8,2) result=miss
11:16:26.752 enemy-shot: pos=(9,7) result=miss
11:16:26.752 shot: pos=(7,6) result=miss
11:16:26.752 enemy-shot: pos=(6,2) result=miss
11:16:26.752 shot: pos=(5,4) result=miss
11:16:26.752 enemy-shot: pos=(5,6) result=miss
11:16:26.752 shot: pos=(7,1) result=miss
11:16:26.752 enemy-shot: pos=(4,6) result=miss
